Ligand,Score
CHEMBL606260_preprocessed_conf2_out.sdf,-3.77
CHEMBL1256400_preprocessed_conf3_out.sdf,-4.304
CHEMBL1109_preprocessed_conf9_out.sdf,-3.816
CHEMBL1205_preprocessed_conf9_out.sdf,-3.89
CHEMBL3622821_preprocessed_conf1_out.sdf,-3.772
CHEMBL1474889_preprocessed_conf5_out.sdf,-3.651
CHEMBL12856_preprocessed_conf6_out.sdf,-3.684
CHEMBL1200729_preprocessed_conf3_out.sdf,-3.263
CHEMBL1201073_preprocessed_conf9_out.sdf,-2.161
CHEMBL3990694_preprocessed_conf9_out.sdf,-2.796
CHEMBL1909282_preprocessed_conf1_out.sdf,-3.488
CHEMBL301265_preprocessed_conf1_out.sdf,-3.124
